Best,Algorithm
13212314,A
13280218,A
13463979,A
13217160,A
13128633,A
13326092,A
13298953,A
13147275,A
13287901,A
13464598,A
13421766,A
13368521,A
13077541,A
13280437,A
13188086,A
13292916,A
13353346,A
13113782,A
13156161,A
13080482,A
13154583,A
13279471,A
13280226,A
13216033,A
13209204,A
13336841,A
13351182,A
13117358,A
13430762,A
13207905,A
13259455,B
13332338,B
13293485,B
13296985,B
13310007,B
13468374,B
13272105,B
13212003,B
13233890,B
13228477,B
13211993,B
13292620,B
13343477,B
13335209,B
13359068,B
13192674,B
13391325,B
13338311,B
13196976,B
13454352,B
13320266,B
13212917,B
13336385,B
13410336,B
13456720,B
13363068,B
13300568,B
13319884,B
13390484,B
13473482,B
