Best,Algorithm
13217037,A
13346032,A
13097591,A
13139521,A
13074839,A
13312012,A
13280054,A
13380636,A
13143702,A
13419996,A
13220076,A
13364286,A
13282070,A
13330044,A
13217634,A
13129501,A
13211700,A
13133077,A
13329774,A
13137920,A
13249536,A
13197205,A
13176437,A
13272199,A
13239936,A
13260927,A
13182717,A
13364687,A
13139896,A
13200081,A
13274695,B
13333403,B
13210038,B
13301299,B
13285310,B
13305861,B
13280422,B
13464598,B
13299949,B
13394219,B
13273202,B
13350474,B
13394815,B
13409018,B
13464439,B
13338441,B
13174483,B
13324413,B
13357152,B
13424518,B
13261808,B
13334409,B
13318718,B
13180281,B
13109626,B
13425394,B
13226977,B
13169010,B
13307755,B
13399767,B
