Wed Apr 27 19:18:33 2016
[([3, 4, 4, 18, 9, 19, 10, 19, 14, 20, 19, 7, 10, 15, 13, 16, 12, 14, 14, 6, 9, 8, 13, 20, 20], 0), ([1, 5, 6, 14, 18, 15, 20, 2, 19, 9, 4, 11, 7, 3, 16, 12, 13, 17, 10, 8], 0)]
[([15, 12, 11, 16, 14, 3, 3, 0, 11, 15, 19, 7, 19, 0, 19, 11, 1, 13, 2, 0, 4, 16, 7, 8, 12], 0), ([1, 14, 6, 19, 2, 17, 3, 5, 15, 12, 13, 4, 7, 9, 11, 16, 10, 8, 20, 18], 0)]
[([5, 8, 6, 3, 13, 16, 17, 20, 7, 2, 13, 10, 10, 7, 7, 20, 4, 19, 13, 12, 2, 11, 12, 2, 15], 0), ([1, 20, 13, 2, 17, 19, 12, 18, 15, 10, 16, 7, 5, 4, 6, 14, 3, 11, 9, 8], 0)]
[([9, 19, 10, 2, 10, 1, 8, 5, 4, 8, 3, 13, 9, 10, 9, 18, 9, 1, 2, 2, 0, 11, 4, 10, 1], 0), ([1, 4, 2, 13, 16, 15, 10, 18, 3, 11, 9, 7, 20, 6, 5, 17, 19, 8, 14, 12], 0)]
[([0, 10, 2, 8, 11, 1, 11, 15, 16, 5, 0, 10, 10, 14, 19, 5, 20, 9, 9, 10, 5, 9, 17, 5, 3], 0), ([1, 15, 8, 11, 7, 3, 20, 2, 13, 19, 17, 6, 12, 16, 18, 10, 14, 9, 5, 4], 0)]
[([15, 5, 11, 7, 19, 2, 3, 17, 19, 13, 15, 5, 6, 12, 17, 12, 15, 12, 17, 3, 18, 15, 15, 15, 0], 0), ([1, 20, 19, 5, 3, 8, 11, 2, 4, 18, 7, 12, 14, 13, 15, 17, 10, 6, 9, 16], 0)]
[([16, 12, 14, 2, 0, 19, 13, 0, 1, 18, 18, 8, 10, 18, 17, 6, 4, 2, 19, 0, 1, 11, 5, 1, 14], 0), ([1, 11, 16, 15, 5, 4, 17, 8, 3, 14, 20, 12, 2, 18, 6, 13, 7, 19, 9, 10], 0)]
[([5, 10, 14, 8, 4, 7, 15, 12, 5, 2, 11, 20, 2, 10, 18, 15, 11, 3, 20, 12, 5, 7, 3, 14, 1], 0), ([1, 7, 13, 3, 14, 15, 2, 17, 19, 5, 10, 6, 8, 4, 9, 11, 20, 16, 12, 18], 0)]
[([13, 13, 12, 6, 16, 6, 19, 10, 18, 5, 7, 15, 7, 0, 8, 5, 19, 8, 15, 19, 3, 6, 3, 15, 10], 0), ([1, 19, 15, 10, 20, 18, 2, 9, 8, 6, 12, 17, 7, 13, 3, 14, 4, 11, 16, 5], 0)]
[([13, 13, 15, 1, 15, 19, 17, 3, 11, 7, 13, 15, 4, 6, 7, 13, 7, 18, 20, 12, 5, 1, 9, 10, 0], 0), ([1, 15, 12, 6, 10, 8, 18, 4, 2, 7, 20, 13, 14, 9, 11, 3, 5, 16, 17, 19], 0)]
