Wed Apr 27 19:21:59 2016
[([11, 4, 16, 0, 0], 10.136299495467803), ([1, 9, 8, 6, 17, 10, 12, 20, 2, 5, 15, 7, 3, 18, 19, 13, 14, 16, 4, 11], 10.136299495467803)]
[([5, 15, 0, 0, 5], 10.749865789857088), ([1, 20, 16, 13, 2, 6, 17, 9, 18, 19, 4, 12, 7, 3, 14, 10, 11, 15, 8, 5], 10.749865789857088)]
[([11, 11, 0, 0, 2], 12.973855173135142), ([1, 8, 13, 14, 17, 7, 9, 15, 20, 3, 16, 18, 5, 10, 19, 4, 6, 2, 12, 11], 12.973855173135142)]
[([11, 16, 0, 0, 10], 10.320183704325027), ([1, 2, 7, 18, 15, 14, 20, 4, 13, 19, 5, 3, 8, 9, 6, 17, 12, 16, 10, 11], 10.320183704325027)]
[([0, 11, 3, 2, 0], 11.016742630602483), ([1, 14, 15, 13, 2, 5, 8, 16, 18, 7, 9, 17, 12, 10, 4, 19, 6, 20, 3, 11], 11.016742630602483)]
[([18, 3, 0, 17, 0], 15.470268499867293), ([1, 5, 15, 19, 10, 2, 20, 13, 9, 7, 16, 4, 11, 14, 8, 6, 12, 17, 3, 18], 15.470268499867293)]
[([13, 0, 17, 0, 17], 9.950589499939827), ([1, 18, 10, 7, 20, 12, 8, 4, 14, 19, 16, 15, 2, 3, 11, 5, 9, 6, 13, 17], 9.950589499939827)]
[([15, 0, 15, 0, 0], 8.339523915376585), ([1, 14, 6, 13, 17, 5, 16, 12, 11, 2, 20, 3, 4, 8, 18, 10, 9, 7, 19, 15], 8.339523915376585)]
[([0, 19, 0, 0, 5], 10.652479895221271), ([1, 9, 4, 7, 17, 14, 8, 3, 18, 11, 20, 2, 6, 16, 10, 13, 12, 15, 19, 5], 10.652479895221271)]
[([3, 0, 3, 0, 19], 10.189482853927792), ([1, 10, 20, 5, 11, 14, 16, 9, 6, 2, 12, 13, 18, 15, 8, 7, 17, 19, 4, 3], 10.189482853927792)]
[([7, 17, 0, 17, 0], 12.276467014282398), ([1, 3, 15, 13, 12, 6, 11, 2, 8, 18, 9, 16, 14, 19, 4, 10, 20, 5, 7, 17], 12.276467014282398)]
[([2, 0, 17, 2, 0], 10.9200074364768), ([1, 5, 9, 3, 6, 7, 15, 16, 10, 11, 8, 14, 19, 12, 20, 18, 17, 13, 4, 2], 10.9200074364768)]
[([0, 0, 13, 17, 3], 10.316643627756468), ([1, 12, 6, 5, 20, 19, 16, 10, 7, 2, 4, 8, 9, 18, 11, 13, 14, 15, 17, 3], 10.316643627756468)]
[([16, 16, 0, 0, 0], 10.43464909063522), ([1, 9, 15, 7, 10, 3, 19, 6, 17, 20, 13, 12, 2, 5, 11, 18, 4, 8, 14, 16], 10.43464909063522)]
[([11, 11, 0, 17, 0], 15.51479793240979), ([1, 5, 9, 7, 12, 2, 18, 16, 4, 8, 10, 13, 20, 15, 17, 6, 3, 19, 14, 11], 15.51479793240979)]
[([5, 11, 0, 0, 5], 13.305552270487713), ([1, 15, 13, 9, 20, 12, 7, 18, 6, 3, 17, 19, 4, 8, 2, 16, 10, 14, 5, 11], 13.305552270487713)]
[([2, 0, 0, 17, 5], 13.738199680485017), ([1, 12, 20, 14, 17, 4, 7, 6, 8, 15, 19, 18, 16, 9, 10, 13, 3, 11, 2, 5], 13.738199680485017)]
