Fri Apr 29 04:07:46 2016
[([0, 0, 0, 0, 11, 0, 0, 11, 11, 0, 0, 11, 11, 0, 0, 0, 0, 11, 0, 0, 0, 11, 11, 11, 11], 2.0498789809946487), ([1, 12, 8, 6, 17, 7, 13, 18, 5, 15, 4, 20, 10, 19, 2, 16, 14, 3, 9, 11], 2.0498789809946487)]
[([0, 0, 10, 0, 0, 0, 0, 0, 10, 10, 10, 0, 10, 0, 0, 0, 0, 0, 10, 10, 0, 10, 0, 10, 10], 2.1139463903182594), ([1, 20, 2, 12, 17, 15, 9, 5, 13, 16, 18, 8, 7, 14, 3, 6, 4, 19, 11, 10], 2.1139463903182594)]
[([0, 0, 10, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0, 10, 0, 0, 0, 0, 10, 10, 10, 0, 10, 0, 0], 2.13490789974041), ([1, 17, 6, 8, 7, 16, 3, 9, 19, 14, 13, 12, 11, 4, 2, 5, 18, 15, 20, 10], 2.13490789974041)]
[([0, 0, 10, 0, 0, 0, 0, 0, 0, 10, 10, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10], 2.1365507684589478), ([1, 3, 19, 13, 14, 18, 7, 8, 12, 20, 5, 4, 9, 2, 16, 17, 6, 15, 11, 10], 2.1365507684589478)]
[([0, 0, 0, 0, 11, 0, 0, 11, 11, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 11], 2.259393507104992), ([1, 14, 3, 7, 8, 18, 13, 15, 5, 4, 9, 2, 19, 6, 17, 16, 12, 20, 10, 11], 2.259393507104992)]
[([0, 0, 0, 0, 11, 0, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0], 1.920679630306494), ([1, 9, 17, 13, 19, 12, 6, 2, 3, 16, 8, 7, 15, 18, 5, 14, 4, 20, 10, 11], 1.920679630306494)]
[([0, 0, 0, 0, 11, 0, 0, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11, 11, 0], 1.8052478822659357), ([1, 6, 20, 10, 17, 12, 19, 8, 15, 7, 13, 2, 18, 14, 16, 3, 5, 4, 9, 11], 1.8052478822659357)]
[([0, 0, 0, 0, 11, 0, 11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11, 11, 11], 2.1872733460076272), ([1, 20, 10, 19, 7, 2, 4, 18, 15, 13, 14, 3, 17, 6, 16, 8, 5, 9, 12, 11], 2.1872733460076272)]
[([0, 0, 10, 0, 0, 0, 0, 0, 10, 10, 10, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0], 1.966925693703738), ([1, 19, 5, 20, 8, 7, 12, 13, 6, 17, 3, 11, 2, 4, 15, 14, 16, 18, 9, 10], 1.966925693703738)]
[([0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 10, 0, 10, 0, 0, 0, 0, 0, 10, 10, 0, 10, 10, 10, 0], 2.3500088112639403), ([1, 3, 5, 7, 13, 18, 14, 17, 16, 6, 8, 15, 2, 4, 19, 9, 20, 12, 11, 10], 2.3500088112639403)]
