Thu Apr 28 18:57:49 2016
[([0, 0, 3, 0, 0], 10.262891470434123), ([1, 14, 15, 18, 10, 19, 17, 2, 11, 7, 16, 5, 12, 9, 20, 13, 8, 4, 6, 3], 10.262891470434123)]
[([0, 0, 3, 0, 0], 10.404697024446081), ([1, 7, 11, 14, 2, 9, 12, 18, 15, 13, 10, 16, 5, 19, 8, 4, 6, 20, 17, 3], 10.404697024446081)]
[([0, 17, 17, 17, 0], 10.39871244067835), ([1, 4, 6, 2, 16, 19, 13, 20, 14, 7, 11, 15, 18, 5, 8, 10, 3, 9, 12, 17], 10.39871244067835)]
[([0, 17, 17, 17, 0], 10.051614987534853), ([1, 16, 3, 20, 14, 11, 6, 7, 4, 15, 18, 10, 13, 19, 8, 5, 12, 2, 9, 17], 10.051614987534853)]
[([0, 0, 6, 0, 0], 9.725632636749351), ([1, 2, 7, 5, 13, 10, 8, 15, 18, 17, 4, 3, 14, 11, 12, 9, 19, 20, 16, 6], 9.725632636749351)]
[([0, 14, 0, 14, 0], 11.250363118803135), ([1, 2, 20, 3, 6, 8, 17, 9, 12, 13, 10, 19, 4, 16, 5, 18, 15, 11, 7, 14], 11.250363118803135)]
[([0, 0, 6, 6, 0], 12.685481782314262), ([1, 20, 17, 2, 18, 15, 14, 5, 7, 11, 16, 4, 19, 8, 9, 12, 13, 10, 3, 6], 12.685481782314262)]
[([0, 0, 6, 0, 0], 12.459960289997834), ([1, 3, 9, 20, 2, 12, 18, 17, 5, 15, 14, 16, 7, 11, 8, 10, 13, 19, 4, 6], 12.459960289997834)]
[([0, 0, 6, 0, 0], 12.656330188231326), ([1, 2, 12, 19, 8, 15, 4, 18, 13, 9, 20, 10, 5, 16, 11, 7, 14, 17, 3, 6], 12.656330188231326)]
[([0, 0, 6, 0, 0], 12.57308315877537), ([1, 3, 13, 10, 15, 16, 12, 11, 14, 7, 5, 4, 18, 19, 8, 17, 9, 20, 2, 6], 12.57308315877537)]
